#multi:
	cintura		quadril		coxa		joelho		tornozelo		calcanhar		pé		
t	x	y	x	y	x	y	x	y	x	y	x	y	x	y	
0.692	-1.064	0.986	-1.055	0.868	-0.977	0.494	-0.920	0.411	-0.713	0.148	-0.654	8.665E-2	-0.743	2.028E-2
0.700	-1.078	0.986	-1.069	0.867	-0.993	0.492	-0.934	0.410	-0.720	0.153	-0.659	9.277E-2	-0.745	2.205E-2
0.708	-1.092	0.985	-1.083	0.866	-1.009	0.490	-0.950	0.409	-0.727	0.159	-0.666	0.101	-0.747	2.445E-2
0.717	-1.105	0.984	-1.098	0.865	-1.027	0.489	-0.967	0.408	-0.737	0.164	-0.673	0.108	-0.750	2.738E-2
0.725	-1.118	0.984	-1.112	0.865	-1.045	0.487	-0.984	0.407	-0.747	0.170	-0.682	0.117	-0.754	3.107E-2
0.733	-1.131	0.985	-1.126	0.865	-1.064	0.486	-1.003	0.406	-0.760	0.176	-0.692	0.127	-0.758	3.571E-2
0.742	-1.143	0.985	-1.140	0.865	-1.084	0.484	-1.024	0.404	-0.772	0.181	-0.703	0.137	-0.763	4.073E-2
0.750	-1.155	0.985	-1.153	0.865	-1.105	0.482	-1.045	0.403	-0.787	0.188	-0.717	0.148	-0.770	4.728E-2
0.758	-1.167	0.986	-1.166	0.865	-1.126	0.480	-1.067	0.401	-0.803	0.196	-0.732	0.158	-0.778	5.521E-2
0.767	-1.179	0.986	-1.178	0.865	-1.148	0.479	-1.089	0.400	-0.821	0.202	-0.750	0.171	-0.788	6.387E-2
0.775	-1.189	0.987	-1.190	0.865	-1.170	0.478	-1.112	0.399	-0.839	0.209	-0.769	0.182	-0.800	7.264E-2
0.783	-1.199	0.987	-1.201	0.866	-1.193	0.478	-1.136	0.399	-0.858	0.216	-0.788	0.193	-0.812	8.071E-2
0.792	-1.209	0.987	-1.212	0.866	-1.215	0.478	-1.160	0.399	-0.879	0.223	-0.809	0.202	-0.825	8.861E-2
0.800	-1.218	0.988	-1.222	0.866	-1.238	0.479	-1.184	0.401	-0.899	0.228	-0.830	0.211	-0.841	9.654E-2
0.808	-1.227	0.988	-1.232	0.867	-1.260	0.481	-1.208	0.403	-0.921	0.234	-0.850	0.219	-0.860	0.105
0.817	-1.236	0.990	-1.241	0.869	-1.282	0.484	-1.232	0.405	-0.942	0.241	-0.871	0.226	-0.880	0.112
0.825	-1.244	0.991	-1.250	0.871	-1.303	0.487	-1.255	0.408	-0.964	0.247	-0.892	0.231	-0.903	0.118
0.833	-1.252	0.993	-1.259	0.872	-1.325	0.490	-1.278	0.412	-0.986	0.253	-0.914	0.238	-0.927	0.123
0.842	-1.260	0.995	-1.268	0.875	-1.345	0.494	-1.301	0.416	-1.007	0.258	-0.938	0.241	-0.952	0.127
0.850	-1.268	0.998	-1.276	0.877	-1.365	0.498	-1.323	0.420	-1.030	0.261	-0.962	0.244	-0.978	0.130
0.858	-1.277	1.000	-1.285	0.879	-1.385	0.502	-1.345	0.424	-1.055	0.264	-0.984	0.246	-1.003	0.132
0.867	-1.285	1.002	-1.294	0.882	-1.405	0.507	-1.367	0.429	-1.078	0.265	-1.009	0.246	-1.030	0.133
0.875	-1.294	1.005	-1.302	0.884	-1.424	0.512	-1.389	0.434	-1.103	0.265	-1.031	0.246	-1.056	0.133
0.883	-1.304	1.007	-1.312	0.887	-1.443	0.517	-1.410	0.438	-1.127	0.266	-1.056	0.244	-1.083	0.132
0.892	-1.313	1.009	-1.322	0.889	-1.462	0.522	-1.431	0.443	-1.151	0.265	-1.080	0.240	-1.112	0.130
0.900	-1.323	1.011	-1.333	0.891	-1.480	0.527	-1.452	0.448	-1.175	0.264	-1.105	0.238	-1.140	0.128
0.908	-1.334	1.014	-1.344	0.894	-1.497	0.532	-1.472	0.453	-1.198	0.262	-1.130	0.233	-1.170	0.125
0.917	-1.345	1.016	-1.355	0.896	-1.515	0.537	-1.492	0.456	-1.223	0.260	-1.156	0.229	-1.200	0.122
0.925	-1.355	1.018	-1.366	0.898	-1.532	0.543	-1.511	0.460	-1.247	0.256	-1.181	0.222	-1.230	0.118
0.933	-1.365	1.020	-1.378	0.900	-1.549	0.547	-1.530	0.464	-1.273	0.251	-1.207	0.215	-1.261	0.113
0.942	-1.377	1.021	-1.390	0.901	-1.565	0.551	-1.548	0.467	-1.298	0.247	-1.234	0.207	-1.293	0.109
0.950	-1.388	1.022	-1.402	0.903	-1.581	0.555	-1.566	0.470	-1.324	0.241	-1.261	0.199	-1.325	0.103
0.958	-1.399	1.023	-1.413	0.904	-1.597	0.559	-1.583	0.473	-1.349	0.236	-1.288	0.190	-1.357	9.787E-2
0.967	-1.409	1.025	-1.425	0.906	-1.611	0.562	-1.600	0.476	-1.375	0.228	-1.316	0.181	-1.389	9.264E-2
0.975	-1.420	1.026	-1.436	0.908	-1.626	0.566	-1.616	0.478	-1.402	0.222	-1.344	0.172	-1.423	8.739E-2
0.983	-1.431	1.026	-1.447	0.908	-1.640	0.569	-1.632	0.480	-1.429	0.215	-1.374	0.163	-1.456	8.219E-2
0.992	-1.440	1.026	-1.458	0.909	-1.653	0.571	-1.648	0.481	-1.456	0.207	-1.404	0.153	-1.490	7.708E-2
1.000	-1.451	1.027	-1.469	0.910	-1.667	0.574	-1.662	0.483	-1.483	0.200	-1.433	0.143	-1.524	7.186E-2
1.008	-1.461	1.027	-1.479	0.910	-1.680	0.576	-1.677	0.484	-1.512	0.193	-1.465	0.133	-1.558	6.712E-2
1.017	-1.471	1.027	-1.490	0.910	-1.692	0.577	-1.691	0.484	-1.540	0.185	-1.497	0.122	-1.594	6.244E-2
1.025	-1.481	1.026	-1.501	0.910	-1.704	0.577	-1.705	0.484	-1.569	0.178	-1.529	0.113	-1.629	5.817E-2
1.033	-1.491	1.025	-1.511	0.910	-1.715	0.578	-1.718	0.483	-1.598	0.170	-1.561	0.104	-1.664	5.471E-2
1.042	-1.502	1.024	-1.521	0.909	-1.726	0.577	-1.730	0.483	-1.626	0.163	-1.594	9.458E-2	-1.699	5.197E-2
1.050	-1.512	1.023	-1.531	0.908	-1.736	0.576	-1.742	0.481	-1.655	0.157	-1.626	8.707E-2	-1.734	5.014E-2
1.058	-1.522	1.022	-1.541	0.906	-1.746	0.574	-1.754	0.479	-1.685	0.151	-1.661	7.936E-2	-1.770	4.924E-2
1.066	-1.533	1.020	-1.552	0.905	-1.755	0.572	-1.766	0.478	-1.714	0.147	-1.693	7.311E-2	-1.804	4.930E-2
